Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
12 Angry Men,1957,100,108652,"Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.","Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict...",Sidney Lumet,"Henry Fonda, Lee J. Cobb, Ed Begley, E.G. Marshall"
2001: A Space Odyssey,1968,92,108042,"One of the most influential of all sci-fi films -- and one of the most controversial -- Stanley Kubrick's 2001 is a delicate, poetic meditation on the ingenuity -- and folly -- of mankind.",An imposing black structure provides a connection between the past and the future in this enigmatic adaptation of a short...,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter"
The 400 Blows,1959,99,107192,"A seminal French New Wave film that offers an honest, sympathetic, and wholly heartbreaking observation of adolescence without trite nostalgia.","For young Parisian boy Antoine Doinel (Jean-Pierre Léaud), life is one difficult situation after another. Surrounded by inconsiderate adults, including...",François Truffaut,"Jean-Pierre Léaud, Claire Maurier, Albert Remy, Guy Decomble"
"The Adventures of Priscilla, Queen of the Desert",1994,94,97203,While its premise is ripe for comedy -- and it certainly delivers its fair share of laughs --,"When drag queen Anthony (Hugo Weaving) agrees to take his act on the road, he invites fellow cross-dresser Adam (Guy...",Stephan Elliott,"Terence Stamp, Hugo Weaving, Guy Pearce, Bill Hunter"
The Adventures of Robin Hood,1938,100,111034,"Errol Flynn thrills as the legendary title character, and the film embodies the type of imaginative family adventure tailor-made for the silver screen.","When King Richard the Lionheart is captured, his scheming brother Prince John (Claude Rains) plots to reach the throne, to...",Michael Curtiz,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains"
Aguirre: The Wrath of God,1972,96,102909,"A haunting journey of natural wonder and tangible danger,","Don Lope de Aguirre (Klaus Kinski), a ruthless Spanish conquistador, vies for power while part of an expedition in Peru...",Werner Herzog,"Klaus Kinski, Ruy Guerra, Helena Rojo, Del Negro"
Airplane!,1980,97,104156,"Though unabashedly juvenile and silly,",This spoof comedy takes shots at the slew of disaster movies that were released in the 70s. When the passengers...,Jim Abrahams,"Robert Hays, Julie Hagerty, Peter Graves, Robert Stack"
Akira,1988,91,95423,,"In 1988 the Japanese government drops an atomic bomb on Tokyo after ESP experiments on children go awry. In 2019,...",Katsuhiro Ohtomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tessho Genda"
Alien,1979,93,114135,"A modern classic,","In deep space, the crew of the commercial starship Nostromo is awakened from their cryo-sleep capsules halfway through their journey...",Ridley Scott,"Tom Skerritt, Sigourney Weaver, John Hurt, Veronica Cartwright"
Aliens,1986,98,106952,While,"After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team....",James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"
All About Eve,1950,99,115433,"Smart, sophisticated, and devastatingly funny,","Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway...",Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, Celeste Holm, George Sanders"
All About My Mother,1999,98,102360,"Almodovar weaves together a magnificent tapestry of femininity with an affectionate wink to classics of theater and cinema in this poignant story of love, loss and compassion.",New friends help a woman (Cecilia Roth) struggling to get her life in order after her son's (Eloy Azorín) death....,Pedro Almodóvar,"Cecilia Roth, Eloy Azorín, Marisa Paredes, Penélope Cruz"
All the President's Men,1976,94,103011,"A taut, solidly acted paean to the benefits of a free press and the dangers of unchecked power, made all the more effective by its origins in real-life events.","Two green reporters and rivals working for the Washington Post, Bob Woodward (Robert Redford) and Carl Bernstein (Dustin Hoffman), research...",Alan J. Pakula,"Robert Redford, Dustin Hoffman, Jack Warden, Martin Balsam"
Almost Famous,2000,91,100178,"Almost Famous, with its great ensemble performances and story, is a well-crafted, warm-hearted movie that successfully draws you into its era.","Set in 1973, it chronicles the funny and often poignant coming of age of 15-year-old William, an unabashed music fan...",Cameron Crowe,"Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee"
Amadeus,1984,89,103610,,Wolfgang Amadeus Mozart (Tom Hulce) is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the...,Milos Forman,"F. Murray Abraham, Tom Hulce, Jeffrey Jones, Elizabeth Berridge"
Amélie,2001,90,98483,"The feel-good Amelie is a lively, fanciful charmer, showcasing Audrey Tautou as its delightful heroine.","""Amélie"" is a fanciful comedy about a young woman who discretely orchestrates the lives of the people around her, creating...",Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus, Yolande Moreau"
Amour,2012,93,103399,"With towering performances and an unflinching script from Michael Haneke,",Retired music teachers Georges (Jean-Louis Trintignant) and Anne (Emmanuelle Riva) have spent their lives devoted to their careers and to...,Michael Haneke,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud"
An American in Paris,1951,95,112696,"The plot may be problematic, but such concerns are rendered superfluous by Gene Kelly and Leslie Caron's star power, the Gershwins' classic songs, and Vincente Minnelli's colorful, sympathetic direction.","Jerry Mulligan (Gene Kelly) is an American ex-GI who stays in post-war Paris to become a painter, and falls for...",Vincente Minnelli,"Gene Kelly, Leslie Caron, Oscar Levant, Georges Guétary"
Annie Hall,1977,97,111047,"Filled with poignant performances and devastating humor,",Comedian Alvy Singer (Woody Allen) examines the rise and fall of his relationship with struggling nightclub singer Annie Hall (Diane...,Woody Allen,"Woody Allen, Diane Keaton, Tony Roberts, Carol Kane"
The Apartment,1960,94,108339,"Director Billy Wilder's customary cynicism is leavened here by tender humor, romance, and genuine pathos.",Insurance worker C.C. Baxter (Jack Lemmon) lends his Upper West Side apartment to company bosses to use for extramarital affairs....,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston"
Apocalypse Now,1979,97,106952,"Francis Ford Coppola's haunting, hallucinatory Vietnam War epic is cinema at its most audacious and visionary.","In Vietnam in 1970, Captain Willard (Martin Sheen) takes a perilous and increasingly hallucinatory journey upriver to find and terminate...",Francis Ford Coppola,"Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest"
Avengers: Endgame,2019,94,123853,"Exciting, entertaining, and emotionally impactful,","Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply...",Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Back to the Future,1985,93,103716,"Inventive, funny, and breathlessly constructed,","In this 1980s sci-fi classic, small-town California teen Marty McFly (Michael J. Fox) is thrown back into the '50s when...",Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson"
Badlands,1973,97,102857,"Terrence Malick's debut is a masterful slice of American cinema, rife with the visual poetry and measured performances that would characterize his work.","Inspired by real-life killers Charles Starkweather and Caril-Ann Fugate, this tale of crime and love begins in a dead-end town....",Terrence Malick,"Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri"
Beauty and the Beast,1991,93,103973,"Enchanting, sweepingly romantic, and featuring plenty of wonderful musical numbers,","An arrogant young prince (Robby Benson) and his castle's servants fall under the spell of a wicked enchantress, who turns...",Gary Trousdale,"Paige O'Hara, Robby Benson, Richard White, Jerry Orbach"
Being John Malkovich,1999,94,100616,"Smart, funny, and highly original,","In this quirky cult-favorite comedy, unemployed New York City puppeteer Craig Schwartz (John Cusack) reluctantly takes a temp job as...",Spike Jonze,"John Cusack, Cameron Diaz, Catherine Keener, Orson Bean"
Being There,1979,95,101002,"Smart, sophisticated, and refreshingly subtle,","Simple-minded Chance (Peter Sellers), a gardener who has resided in the Washington, D.C., townhouse of his wealthy employer for his...",Hal Ashby,"Peter Sellers, Shirley MacLaine, Jack Warden, Melvyn Douglas"
The Best Years of Our Lives,1946,97,112106,"An engrossing look at the triumphs and travails of war veterans,","Fred, Al and Homer are three World War II veterans facing difficulties as they re-enter civilian life. Fred (Dana Andrews)...",William Wyler,"Fredric March, Myrna Loy, Dana Andrews, Teresa Wright"
Better Luck Tomorrow,2002,81,84163,"A promising work by Lin, the energetic Better Luck Tomorrow is disturbing and thought-provoking.","An accomplished high school student, Ben (Parry Shen) seems to excel at almost everything except winning over his dream girl,...",Justin Lin,"Parry Shen, Jason Tobin, Sung Kang, Roger Fan"
Bicycle Thieves,1948,99,110094,"An Italian neorealism exemplar,","Unemployed Antonio Ricci (Lamberto Maggiorani) is elated when he finally finds work hanging posters around war-torn Rome. His wife, Maria...",Vittorio De Sica,"Lamberto Maggiorani, Lianella Carell, Enzo Staiola, Elena Altieri"
The Big Lebowski,1998,80,92246,,"Jeff Bridges plays Jeff Lebowski who insists on being called ""the Dude,"" a laid-back, easygoing burnout who happens to have...",Joel Coen,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi"
The Big Sick,2017,98,114904,"Funny, heartfelt, and intelligent,","Kumail is a Pakistani comic, who meets an American graduate student named Emily at one of his stand-up shows. As...",Michael Showalter,"Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano"
Birdman or (The Unexpected Virtue of Ignorance),2014,91,108674,"A thrilling leap forward for director Alejandro González Iñárritu,",Former cinema superhero Riggan Thomson (Michael Keaton) is mounting an ambitious Broadway production that he hopes will breathe new life...,Alejandro González Iñárritu,"Michael Keaton, Zach Galifianakis, Ed Norton, Andrea Riseborough"
Black Hawk Down,2001,77,83184,"Though it's light on character development and cultural empathy,",The film takes place in 1993 when the U.S. sent special forces into Somalia to destabilize the government and bring...,Ridley Scott,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana"
Black Orpheus,1959,88,96322,"Colorful, atmospheric, and infections,","Young lovers Orfeu (Breno Mello) and Eurydice (Marpessa Dawn) run through the favelas of Rio during Carnaval, on the lam...",Marcel Camus,"Breno Mello, Marpessa Dawn, Lourdes de Oliveira, Léa Garcia"
Black Panther,2018,96,126035,,"After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place...",Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
Blade Runner,1982,89,102802,"Misunderstood when it first hit theaters, the influence of Ridley Scott's mysterious, neo-noir Blade Runner has deepened with time. A visually remarkable, achingly human sci-fi masterpiece.",Deckard (Harrison Ford) is forced by the police Boss (M. Emmet Walsh) to continue his old job as Replicant Hunter....,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos"
Blazing Saddles,1974,89,96904,"Daring, provocative, and laugh-out-loud funny,","In this satirical take on Westerns, crafty railroad worker Bart (Cleavon Little) becomes the first black sheriff of Rock Ridge,...",Mel Brooks,"Cleavon Little, Gene Wilder, Madeline Kahn, Slim Pickens"
Boogie Nights,1997,93,97855,"Grounded in strong characters, bold themes, and subtle storytelling,","In the San Fernando Valley in 1977, teenage busboy Eddie Adams (Mark Wahlberg) gets discovered by porn director Jack Horner...",Paul Thomas Anderson,"Mark Wahlberg, Burt Reynolds, Julianne Moore, John C. Reilly"
Boys Don't Cry,1999,90,93696,"Harrowing yet stirring,",Young female-to-male transgender Brandon Teena (Hilary Swank) leaves his hometown under threat when his ex-girlfriend's brother discovers that he's biologically...,Kimberly Peirce,"Hilary Swank, Chloë Sevigny, Peter Sarsgaard, Brendan Sexton III"
Boyz N the Hood,1991,96,101994,"Well-acted and thematically rich,","Tre (Cuba Gooding Jr.) is sent to live with his father, Furious Styles (Larry Fishburne), in tough South Central Los...",John Singleton,"Laurence Fishburne, Ice Cube, Cuba Gooding Jr., Nia Long"
The Breakfast Club,1985,89,94855,"The Breakfast Club is a warm, insightful, and very funny look into the inner lives of teenagers.",Five high school students from different walks of life endure a Saturday detention under a power-hungry principal (Paul Gleason). The...,John Hughes,"Emilio Estevez, Molly Ringwald, Judd Nelson, Paul Gleason"
Breathless,1959,96,105331,,"Petty thug Michel (Jean-Paul Belmondo) considers himself a suave bad guy in the manner of Humphrey Bogart, but panics and...",Jean-Luc Godard,"Jean-Paul Belmondo, Jean Seberg, Daniel Boulanger, Jean-Pierre Melville"
Bridesmaids,2011,90,102043,"A marriage of genuine characters, gross out gags, and pathos,","Annie (Kristen Wiig) is a single woman whose own life is a mess, but when she learns that her lifelong...",Paul Feig,"Kristen Wiig, Maya Rudolph, Rose Byrne, Ellie Kemper"
The Bridge on the River Kwai,1957,96,111614,"This complex war epic asks hard questions, resists easy answers, and boasts career-defining work from star Alec Guinness and director David Lean.",Adaptation of the Pierre Bouelle novel about POWs in Burma forced to build a bridge to aid the war effort...,David Lean,"William Holden, Alec Guinness, Sessue Hayakawa, Jack Hawkins"
Bridget Jones's Diary,2001,80,85651,"Zellweger's Bridget Jones is a sympathetic, likable, funny character, giving this romantic comedy a lot of charm.","At the start of the New Year, 32-year-old Bridget (Renée Zellweger) decides it's time to take control of her life...",Sharon Maguire,"Renée Zellweger, Colin Firth, Hugh Grant, Gemma Jones"
Broadcast News,1987,98,102864,Blockbuster dramatist James L. Brooks delivers with,Intelligent satire of American television news. A highly strung news producer finds herself strangely attracted to a vapid anchorman even...,James L. Brooks,"William Hurt, Albert Brooks, Holly Hunter, Robert Prosky"
Brokeback Mountain,2005,88,97440,"A beautiful, epic Western, Brokeback Mountain's love story is imbued with heartbreaking universality thanks to moving performances by Heath Ledger and Jake Gyllenhaal.","In 1963, rodeo cowboy Jack Twist (Jake Gyllenhaal) and ranch hand Ennis Del Mar (Heath Ledger) are hired by rancher...",Ang Lee,"Heath Ledger, Jake Gyllenhaal, Linda Cardellini, Anna Faris"
Butch Cassidy and the Sundance Kid,1969,89,97516,"With its iconic pairing of Paul Newman and Robert Redford, jaunty screenplay and Burt Bacharach score,","The true story of fast-draws and wild rides, battles with posses, train and bank robberies, a torrid love affair and...",George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin"
Cabaret,1972,92,98444,Great performances and evocative musical numbers help,"In Berlin in 1931, American cabaret singer Sally Bowles (Liza Minnelli) meets British academic Brian Roberts (Michael York), who is...",Bob Fosse,"Liza Minnelli, Joel Grey, Michael York, Helmut Griem"
The Cabinet of Dr. Caligari,1919,96,110350,"Arguably the first true horror film,","At a carnival in Germany, Francis (Friedrich Feher) and his friend Alan (Rudolf Lettinger) encounter the crazed Dr. Caligari (Werner...",Robert Wiene,"Werner Krauss, Conrad Veidt, Lil Dagover, Friedrich Feher"
Call Me by Your Name,2017,94,114461,,"It's the summer of 1983, and precocious 17-year-old Elio Perlman is spending the days with his family at their 17th-century...",Luca Guadagnino,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar"
Carol,2015,94,109805,"Shaped by Todd Haynes' deft direction and powered by a strong cast led by Cate Blanchett and Rooney Mara,","Aspiring photographer Therese spots the beautiful, elegant Carol perusing the doll displays in a 1950s Manhattan department store. The two...",Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson, Jake Lacy"
Casablanca,1942,99,120485,"An undisputed masterpiece and perhaps Hollywood's quintessential statement on love and romance,","Rick Blaine (Humphrey Bogart), who owns a nightclub in Casablanca, discovers his old flame Ilsa (Ingrid Bergman) is in town...",Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains"
Casino Royale,2006,94,105133,,"After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers...",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
Children of Men,2006,92,102619,,"When infertility threatens mankind with extinction and the last child born has perished, a disillusioned bureaucrat (Clive Owen) becomes the...",Alfonso Cuarón,"Clive Owen, Julianne Moore, Michael Caine, Chiwetel Ejiofor"
